Operating on 64 clusters.

Iteration, World Size, coordsPerRank, # Samples, Iteration RunTime (Sec), Pi Value
1, 511, 10,  5119,  0.006517,  3.15381
2, 511, 100,  51199,  0.007931,  3.14011
3, 511, 1000,  511999,  0.006652,  3.14331
4, 511, 10000,  5.12e+06,  0.010999,  3.14133
5, 511, 100000,  5.12e+07,  0.006629,  3.14157
6, 511, 1000000,  5.12e+08,  0.006486,  3.14169
7, 511, 10000000,  5.12e+09,  0.005422,  3.14163
8, 511, 100000000,  5.12e+10,  0.018858,  3.14158
9, 511, 1000000000,  5.12e+11,  0.010322,  3.14159

Total Time (sec): 0.094391
